Timestamp,Angka,Warna,Hot_Numbers,Cold_Numbers,Consecutive_Colors,Last_Numbers
2024-12-08 14:12:38,2,Hitam,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36",1,2
2024-12-08 14:13:06,18,Merah,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36",1,18
2024-12-08 14:13:34,28,Hitam,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36",1,28
2024-12-08 14:13:54,11,Hitam,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36",1,11
2024-12-08 14:14:18,3,Merah,,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36",1,3
2024-12-08 14:14:49,15,Hitam,,"0,1,4,5,6,7,8,9,10,12,13,14,15,16,17,19,20,21,22,23,24,25,26,27,29,30,31,32,33,34,35,36",1,"2,18,28,11,3"
2024-12-08 14:15:03,15,Hitam,,"0,1,2,4,5,6,7,8,9,10,12,13,14,16,17,19,20,21,22,23,24,25,26,27,29,30,31,32,33,34,35,36",1,"18,28,11,3,15"
2024-12-08 14:15:15,35,Hitam,15.0,"0,1,2,4,5,6,7,8,9,10,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,34,35,36",1,"28,11,3,15,15"
2024-12-08 14:15:30,10,Hitam,15.0,"0,1,2,4,5,6,7,8,9,10,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36",1,"11,3,15,15,35"
2024-12-08 14:15:47,29,Hitam,15.0,"0,1,2,4,5,6,7,8,9,11,12,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36",1,"3,15,15,35,10"
